algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2127090,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2137124,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2147157,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2157191,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2167224,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2177258,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2187291,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2197324,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2207358,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2217391,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2227425,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2237458,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2247492,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2257525,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,2267559,7992363.862167699,distributed_exploration_phase12,0,1
