algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
izumi2026,10,4,1000000,7.238241365054197e-08,5,21,20260531,445667.9333323584,156515.0,196364,34664,26752,2632,5280,161700,143986,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,22,20260532,297973.6666664975,185149.0,157540,30580,10800,6580,13200,126960,94097,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,22,20260532,297973.6666664975,185149.0,157540,30580,10800,6580,13200,126960,94097,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,22,20260532,190032.2000012161,252819.0,144408,21410,11520,3290,6600,122998,60500,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,22,20260532,231297.80000092834,142535.0,121902,19734,12920,2194,4620,102168,74515,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,22,20260532,490229.59999820706,273352.0,248994,35578,25688,3290,6600,213416,157543,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,22,20260532,478384.1999988003,168339.0,210888,34664,26752,2632,5280,176224,153174,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,23,20260533,297854.66666649736,185268.0,157540,30580,10800,6580,13200,126960,94221,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,23,20260533,297854.66666649736,185268.0,157540,30580,10800,6580,13200,126960,94221,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,23,20260533,187252.80000076347,153276.0,111042,21410,11520,3290,6600,89632,59860,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,23,20260533,253734.3333348807,259871.0,167480,19734,12920,2194,4620,147746,80786,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,23,20260533,453316.53333229024,161176.0,200378,35578,25688,3290,6600,164800,147642,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,23,20260533,461426.33333224774,162027.0,203300,34664,26752,2632,5280,168636,149292,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,24,20260534,298101.66666649724,185021.0,157540,30580,10800,6580,13200,126960,94109,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,24,20260534,298101.66666649724,185021.0,157540,30580,10800,6580,13200,126960,94109,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,24,20260534,190011.20000121678,252840.0,144408,21410,11520,3290,6600,122998,60486,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,24,20260534,247497.4000015192,259809.0,165426,19734,12920,2194,4620,145692,78630,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,24,20260534,490966.59999820334,272615.0,248994,35578,25688,3290,6600,213416,158524,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,24,20260534,461323.333332248,162130.0,203300,34664,26752,2632,5280,168636,148805,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,25,20260535,297914.66666649864,185208.0,157540,30580,10800,6580,13200,126960,94132,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,25,20260535,297914.66666649864,185208.0,157540,30580,10800,6580,13200,126960,94132,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,25,20260535,187333.800000763,153195.0,111042,21410,11520,3290,6600,89632,59767,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,25,20260535,248507.06666772504,154686.0,131476,19734,12920,2194,4620,111742,79400,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,25,20260535,482045.1333321143,167481.0,211802,35578,25688,3290,6600,176224,156077,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,25,20260535,487791.6666648857,272987.0,248080,34664,26752,2632,5280,213416,156939,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,26,20260536,297988.6666664988,185134.0,157540,30580,10800,6580,13200,126960,94073,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,26,20260536,297988.6666664988,185134.0,157540,30580,10800,6580,13200,126960,94073,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,26,20260536,184773.9333340601,147665.0,108404,21410,11520,3290,6600,86994,59256,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,26,20260536,247761.40000151875,259545.0,165426,19734,12920,2194,4620,145692,78974,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,26,20260536,473610.7333316546,266701.0,241406,35578,25688,3290,6600,205828,153198,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,26,20260536,461062.3333322501,162391.0,203300,34664,26752,2632,5280,168636,148478,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,27,20260537,287934.866666933,109039.0,129448,30580,10800,6580,13200,98868,92147,1,1,1,0,0,1,0
